config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
D пропуск АМГ,D,0.2,HistGB,1,20260802,0.3922,0.9071,1.694,0.0,1.0,0.8032,0.7485,0.7472,0.6602,0.0
D ошибка единиц,D,0.1,HistGB,1,20260802,0.397,0.902,1.684,0.0,1.0,0.7984,0.7324,0.6941,0.6726,0.0
M0 эталон,—,0.0,HistGB,0,20260803,0.3951,0.8986,1.66,1.0,1.0,0.7951,0.7317,0.7457,0.6782,0.7365
T утечка ρ=0.1,T,0.1,HistGB,1,20260803,0.4034,0.9071,1.72,1.0,0.0,0.6637,0.7406,0.6993,0.6565,0.0
T утечка ρ=0.3,T,0.3,HistGB,1,20260803,0.4768,0.9172,1.603,1.0,0.0,0.5576,0.7656,0.6621,0.7064,0.0
T утечка ρ=0.5,T,0.5,HistGB,1,20260803,0.4833,0.9274,1.532,1.0,0.0,0.5421,0.7868,0.6441,0.7435,0.0
T утечка ρ=0.7,T,0.7,HistGB,1,20260803,0.6098,0.9071,1.328,1.0,0.0,0.3821,0.8461,0.6067,0.8373,0.0
T утечка ρ=0.9,T,0.9,HistGB,1,20260803,0.8699,0.9088,1.0,1.0,0.0,0.1332,0.9481,0.5925,1.0,0.0
F подмена η=0.1,F,0.1,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.7156,0.7317,0.7457,0.6782,0.7174
F подмена η=0.25,F,0.25,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.5963,0.7317,0.7457,0.6782,0.6854
F подмена η=0.5,F,0.5,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.3975,0.7317,0.7457,0.6782,0.6193
F подмена η=0.75,F,0.75,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.1988,0.7317,0.7457,0.6782,0.5208
F подмена η=1.0,F,1.0,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.0159,0.7317,0.7457,0.6782,0.277
S доля=0.25,S,0.25,HistGB,1,20260803,0.3333,0.9206,1.753,1.0,1.0,0.8593,0.713,0.7125,0.6458,0.7287
S доля=0.4,S,0.4,HistGB,1,20260803,0.3841,0.9139,1.748,1.0,1.0,0.8671,0.7241,0.6394,0.6461,0.7136
S доля=0.6,S,0.6,HistGB,1,20260803,0.4061,0.897,1.699,1.0,1.0,0.8572,0.726,0.7226,0.6639,0.7392
S доля=0.8,S,0.8,HistGB,1,20260803,0.4047,0.9054,1.701,1.0,1.0,0.8106,0.7286,0.7258,0.6624,0.73
